马里奥赛车-手游端加好友吗？,还玩吗,
玩。下载游戏在公众号 168游戏坊 里下载,
虽然但是，我一直在查攻略，一直卡关😂,打的游戏有剑三，永劫无间，steam里休闲合作游戏，哈利波特魔法觉醒等等！！有没有游戏池差不多的QAQ！玩游戏基本意识是有的，但可能也没那么高天赋和灵性呜呜呜。PC端的双人成行也可以，最近在打折！！！,组起来,
滴滴,
滴滴！,
我可以！永劫无间和双人成行我都有，其他的也可以一起玩！,
可！！,
私你企鹅,
谁打传奇,
我玩HP,
（玩了老头环后的奇思妙想）,毛线小精灵2双人成行啥的都可,一般晚上可在线，目前本体刷到龙结晶之地。
想找同好一起打打，本人太刀侠。,想加3个好友完成挑战拿宝石🥺
我的id 119371858883,我！求加 545350108246,
已申好友,
加我！！611746166055,
有没有一起玩合作赛的？,
还玩吗,
很喜欢剧情➕互动向的单机游戏，大家有什么推荐吗？,奇异人生,
巫师3 荒野大镖客2,
感觉大表哥最符合,
荒野大镖客救赎2,
这个玩过了确实🉑️！,
有没有在国内很火的国外游戏和国内不火但国外很火的游戏，文章需要素材，但对这方面不太了解，,知乎上一搜一大堆,
有，你关注公众号 168游戏坊 输入游戏名字。就可以下载了,
开放世界类，主角是一个僧人，可以变成鸟，跪求大佬告知555,,不明觉厉,
一把需要肝的武器……,
,有玩原神的友友嘛
我创建一个weixin小群
成员现在有3个人
不准备发展为大群。
小群很佛系聊天，不会打扰。偶尔可以帮忙打打boss踩踩材料啥的。 小组织多纳几个新人热闹一丢丢
成员们都很佛系 欢迎加入,有！求拉！,
佛系玩家+1,
佛系+1,
求拉！,
求拉,
求拉～,
发你了哈,
已发,
已发,
卡在这关了，有没有哪位大神来指点迷津,想讨论主机单机游戏的可以到群里一起聊天联机
群内气氛融洽，友爱和谐 后来由于广州地区小伙伴们比较多，逐渐开始组织线下活动。期待其他地区小伙伴们加入组织更多支部活动。
 主要联机游戏：怪物猎人世界（冰原），泰拉瑞亚，人类一百涂地。 
线下聚会内容：密室逃脱（目前团队通过率100%！），各类桌游，剧本（内置专业MC） 按照群具体情况长期随缘拉人，有意的请豆油我加入，欢迎大家。 
注意事项： 1. 长期不发言群主会定期清理； 2. 被投诉私下加好友骚扰的会被清理； 3. 口吐芬芳素质低下的，估计自己也待不多久~,求啦，爱玩缺朋友,
这些游戏都不玩可以吗,
等,
看我发现了谁🥳,
赶紧发帖顺便招一波群友！,
好 哈哈哈,
等,
有群吗，端游和switch可能多一点,
等,
怪猎冰原崛起都行，菜鸡轻弩选手,
哇,
等,
等,
想玩密室逃脱（害怕）。,
什么游戏？,
越害怕越想玩不是吗？,
的确。（跃跃欲试）,
那还不赶紧加入组织~疫情差不多了这两周应该有活动,
等,
uu！我想一起玩游戏！,
好啊，平时玩什么的？,
怪物猎人、饥荒、泰拉瑞亚、星露谷等等,
等,
人类一败涂地很菜可以吗？,
等,
等,
等,
等,
等,
呜，好羡慕可以有线下活动。,
求拉，已豆油,
等,
等,
等,
还有吗，带带我,
等,
求啦！,
欢迎，平时玩什么游戏,
打双人成行，麻布仔,
等,
等,
等,
 ps4也行，男女皆可，只要你诚心和我一起通关😎 别打到半路跑路 来个人一起玩双人成行也行，男女不限 来个性格好的 都是ps平台 我游戏超多，人也幽默 除了打游戏也能当树洞。 开变声器的也行 当你是女的处。,楼主还缺人吗？ 想玩双人成行,
哥们 我ps5双人成行卖了 xbox上可以 🤔这几天天我下午5点以后都有空,
我没有西瓜皮 也许可以看看ps4上的其他游戏？,
😎哥们 我ps5上基本没联机游戏 都是西瓜皮上看 你也看球？ 可以来我的球迷群 里面也有不少玩主机的,
嗯嗯可以啊,
大哥玩别的吗。比如老头环哈哈哈。,
😂我已经通关不玩了，最近刚摘了眼镜，没法打游戏,
网友自制关卡里面的魔鬼难度都谁过了？
魔鬼难度,我玩过,
我记得我还付费了,
有没有做游戏主播的有经验的宝子们,        本来是去看能拿点啥奖励和游戏改动的，没想到看见了GM在做蛋糕，就还挺新颖的，硬是看了全程看到蛋糕做完，没想到做的还不错2333。
        看到岛民们自己制作的祝福视频还挺有感触的，因为玩彩虹岛很久了，大概能get到他们对彩虹岛的感情，准备明年咱也搞一个。
        听了两个GM的承诺，希望能真的兑现，也期待夏天Laboom版本的上线，希望会是全新的彩虹岛！,        直播挺惊喜的，别的不说，就这个做蛋糕环节给我看乐了，一直以为比较能镇住场子的是小豪，没想到小四做的更溜。
说实话后面小豪说的话我还挺有感触的，只凭猜测做出来的游戏不一定是岛民们想要的，只有下场了解岛民们最真实的想法，才能做出来更好的彩虹岛。
        看了laboom版本的预告，期待小四小豪许诺玩家的都能实现！祝生日快乐吧~,温柔话多   能刚能苟  用心陪伴游戏,滴滴我,
有嘛,
是女生吗🥺,
是呀,
那你加我～有时间一起玩,
dd,
我我我！我也是女生,
男的 女的都可以。
嘻嘻,玩友报道🏄,
豆,
我,
豆,
玩,
打怪游戏,
玩啥？,
豆,
修仙打怪游戏,
可以直接私信,
道友 在不,
还能交到好朋友的,方舟生存进化 不会变聪明 能交到好朋友,
rt,城市大亨?,
都市天际线,
都市天际线,
前两天免费,
前者是不敢自己玩，后者想玩但没人一起，或者把我拉进人少的游戏群也行，多谢啦。,dd,
我还很喜欢《Raft》。,
男生可以吗？逃出生天。,
可以啊,
私你了。,
我是等下班才有时间，,
英灵神殿一起啊，最近沉迷这个
188325859,
我也是下班后玩。,
好的加你了。,
你这也不是微信啊。,
这个是Steam好友码，微信的话私发吧,
,第一个是防火女嘛 其它的只认识蒂法🤓,
还有老游戏的角色呦 混沌军团,
一个人不敢玩，人多壮壮胆。steam《森林》或者其他的（待定可推荐），其他游戏也可看你玩什么。,我一般晚上有时间，你看玩啥能联机的😂,
可以带萌新，一起拿皇冠需要的滴,我 忘记了😞😞😞,
蜘蛛侠169，战神110，荒野大镖客165，底特律变人75，命运2 20，nba2k14 150
打包可包邮,须知：我很菜,来么,
,     买了饥荒好久了一直是自己玩，呜呜有点没劲了，想找一起玩的姐妹！有意留言我私你！,我也想找女孩子一起玩游戏，或许你还玩什么其他的吗？我自己也玩着无聊。,
举手,
联机的话，，，手游类吧,
私了,
有没有大佬能帮我看看怎么通关😢,啊啊，已经删了不记得了，,
蹲蹲T T,
刚刚玩的卡组,
买了大半年的PS5了还一个好友都没有,loganbi 加一个,
目前进度为零，有小伙伴一起吗？豆邮PSN冲鸭！,loganbi加一个,
        昨晚直播确实挺有意思的，场景温馨可爱，小四和小豪也还跟以前一样，是我们熟悉的他们！直播做的蛋糕，说真的第二次做，能做成这样真的非常不错了~自己做过，知道蛋糕不好做，还是在这么多玩家的关注下完成的，感觉两个人都有点紧张哈哈。中间的小游戏不错，惩罚也很有意思。
        最期待的就是laboom版本了，看了预告感觉还不错！最感动的是玩家们的祝福视频，拾光不老快乐为伍szd！！！,rt,冰汽时代，160小时的路过,
哈哈哈哈200+小时路过,
分区真的好难受，六年了。再登陆味道真的变了好多，尤其是那个毒药，那么的绿，就见不得红吗？🤭,        脱坑有一段时间了，闲着没事就看了看今年周年庆的直播，也不知道是谁想的，竟然现场直播做蛋糕！我哈哈哈，真的是难为小四和小豪了，听说俩人这才第二次做蛋糕，能做成这样值得给个大拇指！另外小游戏惩罚也太..接地气了。
        中间俩人解答了好多玩家的疑问，加上看见laboom的版本预告，有点期待！决定回坑重新感受一下彩虹岛了~,如图所示，本来在鼠标指的地方会有一个选择地区的选项。之前为了买锁国区的游戏转到了港区，现在转不回来了😰😰,文明6我有。更喜欢战锤2。,
3个月才能转回来,
3个月不到就会没有那个按钮吗？我刚转港区的那几天，那个按钮还是存在的😰,
确实要等3个月 以前是可以的 后来为了防止反复横跳就改规定了,
那完蛋了，我看别人说用加速器会影响转区判定的，这号算是废了,
要等,
        虽然看预告就知道有做蛋糕这一环节，但直播看到的时候还是小小的感动了一下，一直以来彩虹岛和岛民们的关系就处的很好，周年庆也有好多玩家送上了视频祝福，周年庆和岛民一起庆生，真的超级有意义。
        玩了很久的彩虹岛，感觉这真的是这么多游戏中我最亲切的一个游戏了！
        所以再祝彩虹岛生日快乐！！希望彩虹岛可以越来越好，我们也能一直一起走下去！期待夏天的laboom版本！,不知道大家看完感觉怎么样，我个人感觉，针不戳！！今年宣传语是拾光不老，快乐为伍，我是真的觉得彩虹岛做到了！
这次的直播间非常的温馨，而且到处都充满了彩虹岛的元素，说实话最让我感兴趣的肯定是那堆彩虹岛周边了，龙猫好可爱！！自己买过周边，但毕竟中奖的话是彩虹岛送来的，意义不同，可惜这次还是没有中，希望明年有我！
最好玩的应该就是小游戏和惩罚环节了，这里先心疼一下GM，有惩罚是真上啊，隔着屏幕都能感觉到被橡皮筋弹脸和扯腿毛的疼痛，小豪也确实温柔，弹脸感觉都是轻轻的，这两人还是我们记忆中的他们哇！小游戏还都挺有意思的，不过感觉明年可以提高一下难度嘛，对GM和策划们来说，我觉得这游戏有点简单了~
最喜欢的是做蛋糕环节，我还买了东西跟着一起做，不过我做的没有小四小豪做的好，看来这俩真的下了功夫学做蛋糕了，看小四熟练的打蛋和切水果，得夸一下啊！当然了中间穿插的问答环节也是解决了好多我的疑问！另外福利也很棒哦，别忘了去领！！
最感动的是最后小四小豪说的话！看的出来他们是在认真地做游戏，也在认真听岛民的意见，玩家害怕的不是游戏不好，而是我们真的很喜欢一个游戏，但我们的意见没人听的到，所以听见小四小豪的话，还是对彩虹岛充满信心的，对laboom版本也充满了信心，预告已经有了，很期待正式见面的那一天~
最后，玩家们的祝福视频超级厉害！弄得我明年都想动手一试了！虽然没有制作视频的玩家那么厉害，但是祝福还是要送到的！岛岛生日快乐，要越来越好啊！！！,真的很喜欢彩虹岛，一直以来玩了很多游戏，但是都是玩一段时间就脱坑了，回头看看陪我最久的就是彩虹岛了，说实话对我来说这已经不是一个游戏这么简单了，今年周年庆我也是期待了好久，毕竟熟悉咱游戏的岛民都知道，周年庆的奖励必须是最丰富的，而且直播本身也乐趣多多。
看了直播只能说，一点没有辜负我的期待，小四小豪还是我们熟悉的样子，现场布置的很彩虹岛并且有好多可可爱爱的周边哇，想要，可惜中奖绝缘体果然依旧没有中奖，5555（疯狂暗示）。
做蛋糕环节还挺好玩的，边做还要边回答问题，一心二用挺有难度哦，也看的出来小豪蛮紧张，毕竟做蛋糕不简单嘛，鸡蛋壳都弄到碗里了哈哈，相比起来小四就比较淡定了，但不管怎么说，最后做出来的蛋糕感觉还是超常发挥了，毕竟两个人都是第二次做蛋糕嘛，看起来还挺好吃的。
中间穿插的小游戏就乐趣十足了，最乐的必须是惩罚环节，拔腿毛真的，我笑爆了，就是大家都太温柔了点，一点都不刺激啊，策划阿乐（好像是叫这个）确实是太紧张了，不过幕后嘛，也正常，你画我猜看的出来，小四对彩虹岛的熟悉程度超级高。
但对我来说，最喜欢的其实是岛民们自己制作的庆生视频了，有的感动，有的好笑，有的比较简单，有的非常惊艳，但这都是岛民对彩虹岛的祝福嘛。另外小四和小豪也为大家解答了许多问题还送上了不少福利，并且还有Laboom版本的预告，还是非常期待这个夏天的！
总之吧，庆生直播十分圆满，当然也要送上我自己的祝福，彩虹岛生日快乐！我们长长久久~,qq区啊啊啊啊啊啊家人们dd,我菜又喜欢玩😂,
准备买一个开始玩 想找一个一起的朋友交流进度,有的,
有没有性价比高的笔记本?推荐一下7000左右,今年目前为止做过最潇洒的事或许就是舍友有老头环的盗版资源，自己玩了之后发现游戏实在太精彩太棒了主动卸载盗版花了三百块去steam上补票这件事吧👏👏👏,放心大胆地说，盗版不好。,
        老玩家都知道，周年庆一般是彩虹岛奖励最好最盛大最有意思的活动，但是新玩家可能不知道到，作为一个资深岛民我是不允许有这样的情况出现的，所以快去参加新活动拾光不老，我们不散！和龙猫主题乐园。快去看新支线剧情！
        对了，今天也是周年庆直播的日子，彩虹岛周年庆，看过的都说好，今晚7点直播都去给我看！GM还会亲手做蛋糕哦，猜会不会翻车hhh,救救孩子，实在找不到😡,up,
蹲一个人一起双人成行 白天晚上都可 合适的请留言或者私信,我可以吗？哈哈哈哈,
xbox可以和pc连吗,
跨平台不行 但我pc也有 哈哈哈,
可以可以,
😆😆我也是pc哎,
加个橘子好友吧,
我私信你！,
xgp有免费的，想找人一起玩，可以一起建个群！,有呀，还玩吗？我是xssq,
可以约个时间，我一般周末空！,
好的，哈哈，主机党找个队友不容易。,
😂我也可以 xss，没人一起玩一直没下,
组队组队,
xsx 求进群,
没群，互相的好友,
同求,
加个好友！老头环还可以互相刷刷魂,
没买，只有西瓜皮。感觉没意思，为了地平线5⃣️冲的主机,
哦哦 都有,
xss求进群,
找个一起的小伙伴，刚做完手术动不了，主要就是玩游戏,以前玩过兰空voez、Planet Quest行星探索，最近发现了《Arcaea》，歌挺好听的,cytus2,
马里奥赛车-手游端加好友吗？,还玩吗,
